x,y
55,24
56,24
57,24
58,24
59,24
60,24
61,24
62,24
63,24
64,24
65,24
66,24
67,24
68,24
69,24
70,24
71,24
72,24
73,24
74,24
82,24
83,24
84,24
85,24
86,24
87,24
88,24
13,24
14,24
80,24
89,24
90,24
91,24
92,24
93,24
94,24
95,24
96,24
97,24
98,24
99,24
100,24
101,24
102,24
8,24
9,24
10,24
15,24
16,24
17,24
18,24
19,24
22,24
103,24
104,24
105,24
106,24
107,24
108,24
109,24
110,24
111,24
112,24
113,24
11,25
12,25
53,25
54,25
55,25
56,25
57,25
58,25
59,25
60,25
61,25
62,25
63,25
64,25
65,25
66,25
67,25
68,25
69,25
70,25
71,25
72,25
73,25
75,25
76,25
77,25
78,25
79,25
82,25
83,25
84,25
85,25
86,25
87,25
88,25
14,25
89,25
90,25
91,25
92,25
93,25
94,25
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,25
8,25
10,25
15,25
22,25
80,25
103,25
104,25
105,25
106,25
107,25
108,25
109,25
110,25
111,25
112,25
13,25
11,26
12,26
53,26
54,26
55,26
56,26
57,26
58,26
59,26
60,26
61,26
62,26
63,26
64,26
65,26
66,26
67,26
68,26
69,26
70,26
71,26
72,26
73,26
74,26
76,26
77,26
78,26
79,26
84,26
87,26
88,26
10,26
13,26
14,26
85,26
86,26
89,26
90,26
91,26
92,26
93,26
94,26
95,26
96,26
97,26
98,26
99,26
100,26
101,26
102,26
80,26
81,26
103,26
104,26
105,26
106,26
107,26
108,26
109,26
110,26
111,26
112,26
11,27
12,27
52,27
53,27
54,27
55,27
56,27
57,27
58,27
59,27
60,27
61,27
62,27
63,27
64,27
65,27
66,27
67,27
68,27
69,27
70,27
71,27
72,27
73,27
74,27
76,27
77,27
78,27
79,27
103,27
104,27
105,27
106,27
107,27
108,27
109,27
110,27
111,27
14,27
80,27
81,27
82,27
83,27
84,27
85,27
90,27
91,27
92,27
93,27
94,27
95,27
96,27
97,27
98,27
99,27
100,27
101,27
102,27
9,27
13,27
113,27
77,28
78,28
79,28
11,28
12,28
13,28
14,28
19,28
23,28
24,28
52,28
53,28
54,28
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,28
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,28
71,28
72,28
73,28
74,28
75,28
103,28
104,28
105,28
106,28
107,28
108,28
109,28
80,28
81,28
82,28
83,28
84,28
85,28
91,28
92,28
93,28
94,28
95,28
96,28
97,28
98,28
101,28
102,28
78,29
79,29
11,29
12,29
13,29
14,29
15,29
18,29
19,29
26,29
52,29
53,29
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,29
71,29
72,29
73,29
74,29
75,29
77,29
80,29
81,29
82,29
83,29
84,29
85,29
92,29
93,29
94,29
95,29
96,29
97,29
102,29
103,29
104,29
105,29
106,29
78,30
79,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
114,30
15,30
16,30
17,30
18,30
13,30
14,30
80,30
81,30
82,30
83,30
84,30
92,30
93,30
94,30
95,30
96,30
102,30
103,30
104,30
105,30
106,30
107,30
79,31
51,31
52,31
53,31
54,31
55,31
56,31
57,31
58,31
59,31
60,31
61,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
69,31
70,31
71,31
72,31
73,31
74,31
75,31
76,31
16,31
17,31
18,31
19,31
20,31
81,31
83,31
114,31
80,31
82,31
93,31
94,31
95,31
104,31
105,31
106,31
107,31
108,31
52,32
53,32
54,32
55,32
56,32
57,32
58,32
59,32
60,32
61,32
62,32
63,32
64,32
65,32
66,32
67,32
68,32
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
17,32
18,32
19,32
20,32
93,32
94,32
95,32
104,32
105,32
106,32
107,32
108,32
115,32
25,33
27,33
116,33
19,33
20,33
52,33
53,33
54,33
55,33
56,33
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,33
65,33
66,33
67,33
68,33
69,33
70,33
71,33
72,33
73,33
74,33
75,33
76,33
77,33
78,33
104,33
